AV ID,Attack Vector,Safeguard,SG ID
AV-000,Conduct Open-Source Supply Chain Attack,Software Bill of Materials (SBOM),SG-001
AV-000,Conduct Open-Source Supply Chain Attack,Patch Management,SG-002
AV-000,Conduct Open-Source Supply Chain Attack,Software Composition Analysis (SCA),SG-003
AV-000,Conduct Open-Source Supply Chain Attack,Application Security Testing (AST),SG-005
AV-000,Conduct Open-Source Supply Chain Attack,Runtime Application Self-Protection (RASP),SG-006
AV-000,Conduct Open-Source Supply Chain Attack,Prevent Script Execution,SG-010
AV-000,Conduct Open-Source Supply Chain Attack,"Use of Security, Quality and Health Metrics",SG-013
AV-000,Conduct Open-Source Supply Chain Attack,Code Isolation and Sandboxing,SG-014
AV-000,Conduct Open-Source Supply Chain Attack,Audit,SG-023
AV-000,Conduct Open-Source Supply Chain Attack,Security Assessment,SG-024
AV-000,Conduct Open-Source Supply Chain Attack,Vulnerability Assessment,SG-025
AV-000,Conduct Open-Source Supply Chain Attack,Penetration Testing,SG-026
AV-000,Conduct Open-Source Supply Chain Attack,Integrate Open Source Vulnerability scanners into CI/CD pipelines,SG-036
AV-000,Conduct Open-Source Supply Chain Attack,Establish vetting process for open-source components,SG-039
AV-200,Create Name Confusion with Legitimate Package,Code Signing,SG-007
AV-200,Create Name Confusion with Legitimate Package,Typo Guard,SG-011
AV-200,Create Name Confusion with Legitimate Package,Typo Detection,SG-012
AV-200,Create Name Confusion with Legitimate Package,Preventive squatting,SG-038
AV-001,Subvert Legitimate Package,Remove un-used Dependencies,SG-009
AV-001,Subvert Legitimate Package,Version Pinning,SG-029
AV-300,Inject Into Sources of Legitimate Package,Manual Source Code Review,SG-004
AV-301,Introduce Malicious Code through Hypocrite Merge Request,Pull/Merge Request Review,SG-015
AV-301,Introduce Malicious Code through Hypocrite Merge Request,Protect Sensitive Branches,SG-016
AV-302,Contribute as Maintainer,Pull/Merge Request Review,SG-015
AV-302,Contribute as Maintainer,Protect Sensitive Branches,SG-016
AV-302,Contribute as Maintainer,User Account Management,SG-022
AV-308,Prevent Display of File Differences,Pull/Merge Request Review,SG-015
AV-308,Prevent Display of File Differences,Protect Sensitive Branches,SG-016
AV-400,Inject During the Build of Legitimate Package,Build Dependencies from Source,SG-008
AV-400,Inject During the Build of Legitimate Package,Isolation of Builds,SG-032
AV-400,Inject During the Build of Legitimate Package,Ephemeral Build Environment,SG-033
AV-400,Inject During the Build of Legitimate Package,Minimal Set of Trusted Build Dependencies in Release Jobs,SG-034
AV-400,Inject During the Build of Legitimate Package,Configure build jobs through code,SG-035
AV-400,Inject During the Build of Legitimate Package,Reproducible builds,SG-037
AV-400,Inject During the Build of Legitimate Package,Integrity check of dependencies through cryptographic hashes,SG-043
AV-402,Tamper Build Job as Maintainer,User Account Management,SG-022
AV-500,Distribute Malicious Version of Legitimate Package,Code Signing,SG-007
AV-500,Distribute Malicious Version of Legitimate Package,Build Dependencies from Source,SG-008
AV-500,Distribute Malicious Version of Legitimate Package,Reproducible builds,SG-037
AV-500,Distribute Malicious Version of Legitimate Package,Integrity check of dependencies through cryptographic hashes,SG-043
AV-501,Dangling Reference,Dependency Resolution Rules,SG-030
AV-501,Dangling Reference,"Establish Internal Repository Mirrors and reference one private feed, not multiple",SG-031
AV-502,Mask Legitimate Package,"Establish Internal Repository Mirrors and reference one private feed, not multiple",SG-031
AV-504,Distribute as Package Maintainer,User Account Management,SG-022
AV-504,Distribute as Package Maintainer,"Establish Internal Repository Mirrors and reference one private feed, not multiple",SG-031
AV-505,Inject into Hosting System,"Establish Internal Repository Mirrors and reference one private feed, not multiple",SG-031
AV-508,Tamper Legitimate URL,Dependency Resolution Rules,SG-030
AV-509,Abuse Dependency Resolution Mechanism,Dependency Resolution Rules,SG-030
AV-600,Compromise User (Project Maintainer/Administrator),User Account Management,SG-022
AV-602,Take-over Legitimate Account,Multi-Factor Authentication,SG-017
AV-602,Take-over Legitimate Account,Password Policy,SG-018
AV-602,Take-over Legitimate Account,Login Protection Mechanism,SG-019
AV-602,Take-over Legitimate Account,Session Timeout,SG-020
AV-602,Take-over Legitimate Account,Token Protection Mechanisms,SG-021
AV-700,Compromise  System,Use of Dedicated Build Service,SG-042
