Repository,Is Signed Commit Enabled,Time Elapsed (s),Repo URL
PyGithub/PyGithub,False,5.151932239532471,https://github.com/PyGithub/PyGithub
chromium/chromium,False,4.484433889389038,https://github.com/chromium/chromium
imranur-rahman/risk-explorer-for-software-supply-chains,True,4.885412931442261,https://github.com/imranur-rahman/risk-explorer-for-software-supply-chains
imranur-rahman/dns-cache-poisoning-attack-reloaded,False,2.5994250774383545,https://github.com/imranur-rahman/dns-cache-poisoning-attack-reloaded
imranur-rahman/security-metrics,False,2.483243942260742,https://github.com/imranur-rahman/security-metrics
storaged-project/blivet,False,4.728116989135742,https://github.com/storaged-project/blivet
magma/magma,True,15.732065916061401,https://github.com/magma/magma
david942j/seccomp-tools,False,4.725423097610474,https://github.com/david942j/seccomp-tools
csutils/csmock,False,5.651763916015625,https://github.com/csutils/csmock
Mellanox/mstflint,False,4.823135852813721,https://github.com/Mellanox/mstflint
niklasb/libc-database,False,4.528915166854858,https://github.com/niklasb/libc-database
ZhiningLiu1998/awesome-imbalanced-learning,False,4.839670896530151,https://github.com/ZhiningLiu1998/awesome-imbalanced-learning
david942j/one_gadget,False,4.9845592975616455,https://github.com/david942j/one_gadget
Mansimran7/ASE_Group12_Hws,False,4.703870058059692,https://github.com/Mansimran7/ASE_Group12_Hws
gabibi123/analise-gabriela,True,0.6436793804168701,https://github.com/gabibi123/analise-gabriela
mirellalima07/analise,True,0.6685178279876709,https://github.com/mirellalima07/analise
rodrigo081/rodrigo-andres-analise-e-projetos,True,0.4302380084991455,https://github.com/rodrigo081/rodrigo-andres-analise-e-projetos
IokioCaina/an-lise,True,0.6883609294891357,https://github.com/IokioCaina/an-lise
tharsoj/analise,True,0.6554830074310303,https://github.com/tharsoj/analise
driiih/ANALISE-,True,0.7745814323425293,https://github.com/driiih/ANALISE-
pliang279/awesome-phd-advice,False,4.596155166625977,https://github.com/pliang279/awesome-phd-advice
xairy/linux-kernel-exploitation,False,4.297665119171143,https://github.com/xairy/linux-kernel-exploitation
papers-we-love/papers-we-love,False,5.548692941665649,https://github.com/papers-we-love/papers-we-love
Beerkay/IoTResearch,True,4.994401931762695,https://github.com/Beerkay/IoTResearch
husnainfareed/Awesome-Ethical-Hacking-Resources,False,5.262235879898071,https://github.com/husnainfareed/Awesome-Ethical-Hacking-Resources
missing-semester/missing-semester,False,4.927222013473511,https://github.com/missing-semester/missing-semester
MahdiMashrur/Awesome-Coding-Interview-Question-Patterns,True,3.63761305809021,https://github.com/MahdiMashrur/Awesome-Coding-Interview-Question-Patterns
yangshun/tech-interview-handbook,False,4.678252935409546,https://github.com/yangshun/tech-interview-handbook
aalhour/awesome-compilers,False,14.85344910621643,https://github.com/aalhour/awesome-compilers
Yale-LILY/FOLIO,False,1.1770217418670654,https://github.com/Yale-LILY/FOLIO
